carat;cut;cut_ord;color;clarity;clarity_ord
0.9;Premium;4;F;SI2;2
0.92;Ideal;5;H;VS1;4
1.54;Premium;4;D;VS2;5
1;Premium;4;E;SI2;2
1.2;Ideal;5;G;VS1;4
1;Ideal;5;E;SI1;3
0.33;Very Good;3;E;SI1;3
0.38;Ideal;5;E;IF;8
0.55;Ideal;5;H;VVS2;6
0.31;Premium;4;J;VS2;5
1.13;Ideal;5;D;VS1;4
0.33;Premium;4;D;SI1;3
1.03;Premium;4;E;VS2;5
0.53;Very Good;3;F;SI1;3
1;Good;2;F;I1;1
0.8;Very Good;3;F;VS1;4
1.25;Good;2;I;SI2;2
0.5;Very Good;3;E;SI1;3
0.56;Ideal;5;D;VS2;5
0.46;Ideal;5;J;VS2;5
2.1;Premium;4;H;SI2;2
0.77;Ideal;5;D;SI1;3
0.53;Premium;4;H;VS2;5
0.75;Very Good;3;F;VS1;4
0.41;Premium;4;F;VVS2;6
0.41;Ideal;5;G;VVS1;7
0.51;Ideal;5;D;VS2;5
0.34;Premium;4;G;VS2;5
0.51;Ideal;5;E;SI2;2
0.3;Premium;4;H;SI1;3
1.5;Good;2;G;SI2;2
1.01;Very Good;3;F;SI2;2
1.1;Ideal;5;G;VS1;4
0.5;Good;2;D;SI1;3
1;Good;2;E;VVS2;6
1.22;Ideal;5;J;VS1;4
1.51;Ideal;5;H;SI2;2
0.31;Ideal;5;E;VVS1;7
0.95;Premium;4;E;SI2;2
1.06;Very Good;3;I;SI2;2
1.39;Premium;4;E;VS2;5
1.01;Very Good;3;H;VS2;5
0.72;Premium;4;D;SI1;3
0.51;Premium;4;D;VS1;4
1.5;Very Good;3;D;SI2;2
0.7;Premium;4;G;VVS1;7
1.01;Premium;4;H;SI2;2
0.3;Ideal;5;I;SI1;3
1.29;Premium;4;F;SI1;3
1.01;Very Good;3;F;VS2;5
0.33;Ideal;5;I;VS2;5
1.53;Premium;4;H;SI2;2
0.85;Premium;4;D;SI2;2
0.33;Ideal;5;G;VS2;5
0.6;Ideal;5;D;VVS1;7
0.63;Premium;4;I;VS1;4
1.04;Premium;4;G;SI2;2
2.01;Very Good;3;H;SI2;2
0.71;Premium;4;E;SI1;3
0.3;Very Good;3;G;VVS2;6
1.74;Ideal;5;J;VS1;4
1.06;Ideal;5;E;SI1;3
0.7;Fair;1;G;SI1;3
1.52;Very Good;3;G;VS2;5
0.41;Ideal;5;F;VS2;5
1.22;Ideal;5;G;VS1;4
0.37;Premium;4;E;SI1;3
0.3;Premium;4;H;SI1;3
0.54;Premium;4;E;SI1;3
0.37;Ideal;5;E;VS2;5
1.5;Premium;4;E;VVS2;6
0.62;Very Good;3;G;VS2;5
1.33;Premium;4;H;SI2;2
1.51;Very Good;3;J;SI2;2
0.31;Ideal;5;H;VVS1;7
0.38;Ideal;5;G;SI2;2
0.31;Ideal;5;I;VS1;4
0.34;Premium;4;G;VVS2;6
0.75;Good;2;E;SI2;2
0.28;Very Good;3;F;VVS2;6
1.23;Very Good;3;G;SI2;2
0.75;Good;2;E;SI1;3
1.11;Ideal;5;H;VVS2;6
2.07;Very Good;3;I;SI1;3
1;Premium;4;D;SI1;3
0.79;Ideal;5;F;SI1;3
0.31;Ideal;5;G;VS1;4
0.31;Premium;4;I;VVS1;7
1;Ideal;5;H;SI1;3
0.41;Premium;4;G;VS1;4
0.51;Premium;4;E;SI1;3
1.91;Very Good;3;F;SI1;3
1.19;Very Good;3;E;VS2;5
0.32;Premium;4;F;VVS1;7
0.55;Ideal;5;F;SI2;2
0.32;Ideal;5;F;IF;8
1.09;Ideal;5;G;SI2;2
0.9;Very Good;3;I;VVS1;7
0.74;Ideal;5;E;VS2;5
0.9;Very Good;3;G;VS2;5
0.76;Ideal;5;D;VS1;4
0.73;Ideal;5;D;SI2;2
0.52;Good;2;G;SI1;3
0.73;Premium;4;E;SI1;3
0.76;Premium;4;I;VS2;5
0.48;Good;2;F;VS1;4
1.5;Fair;1;D;SI1;3
0.37;Very Good;3;F;SI1;3
0.43;Premium;4;E;VS2;5
0.58;Ideal;5;E;VVS2;6
1.01;Ideal;5;D;SI1;3
0.28;Ideal;5;H;VS1;4
0.53;Very Good;3;G;VS1;4
0.9;Very Good;3;I;VS2;5
0.3;Ideal;5;F;VVS1;7
1.51;Premium;4;D;SI2;2
1.01;Premium;4;G;SI2;2
0.31;Ideal;5;F;VS2;5
0.66;Ideal;5;D;VS2;5
0.56;Premium;4;D;SI1;3
0.28;Very Good;3;E;VVS2;6
0.55;Ideal;5;F;SI2;2
0.29;Ideal;5;G;IF;8
0.36;Ideal;5;E;VS1;4
0.31;Ideal;5;D;SI1;3
0.58;Very Good;3;G;VVS2;6
0.4;Premium;4;D;SI2;2
0.29;Ideal;5;I;VS1;4
0.62;Very Good;3;E;VS1;4
0.73;Ideal;5;E;SI2;2
2.01;Very Good;3;J;SI2;2
0.7;Very Good;3;G;I1;1
0.54;Good;2;D;SI2;2
0.3;Fair;1;D;VVS2;6
0.38;Ideal;5;H;VVS1;7
0.7;Premium;4;G;VS1;4
0.82;Ideal;5;E;SI2;2
0.41;Ideal;5;E;VVS2;6
0.64;Ideal;5;G;IF;8
1.01;Very Good;3;H;VS1;4
0.58;Very Good;3;I;VS2;5
0.34;Ideal;5;D;VS1;4
0.85;Ideal;5;E;VS1;4
0.91;Good;2;G;SI2;2
0.91;Premium;4;G;SI2;2
0.5;Fair;1;E;VS2;5
1;Premium;4;F;VS2;5
1.5;Very Good;3;G;SI1;3
1.26;Ideal;5;H;VS1;4
0.35;Premium;4;D;SI2;2
1.09;Premium;4;I;VS2;5
0.3;Ideal;5;F;VS2;5
0.27;Ideal;5;E;VS1;4
0.32;Ideal;5;E;VVS2;6
1.09;Premium;4;I;VS1;4
0.4;Premium;4;F;SI1;3
1.04;Ideal;5;E;VVS2;6
0.51;Premium;4;E;VS2;5
0.73;Ideal;5;H;SI1;3
1.01;Good;2;H;SI2;2
1.34;Ideal;5;G;VS2;5
0.52;Ideal;5;G;VVS2;6
1.21;Good;2;H;VS1;4
0.35;Ideal;5;F;VS1;4
0.7;Ideal;5;G;VVS2;6
0.7;Premium;4;G;SI1;3
0.42;Very Good;3;G;SI1;3
0.38;Premium;4;D;SI2;2
0.3;Ideal;5;G;VS1;4
0.91;Premium;4;F;SI2;2
1.11;Premium;4;G;SI1;3
0.3;Good;2;G;IF;8
0.32;Ideal;5;F;VVS1;7
0.42;Ideal;5;F;VS2;5
0.54;Ideal;5;G;VVS2;6
2.03;Very Good;3;I;VS2;5
0.4;Good;2;F;VS2;5
0.57;Premium;4;H;VS1;4
0.72;Ideal;5;J;VVS1;7
1.3;Premium;4;I;SI1;3
1.01;Premium;4;E;VS2;5
0.39;Ideal;5;G;SI2;2
0.43;Ideal;5;F;VVS2;6
0.77;Premium;4;I;SI1;3
0.53;Ideal;5;F;VVS1;7
0.65;Very Good;3;I;IF;8
0.33;Premium;4;D;SI2;2
1.02;Premium;4;F;SI2;2
0.31;Premium;4;G;VVS1;7
0.36;Ideal;5;F;SI1;3
0.3;Very Good;3;H;VVS1;7
0.9;Very Good;3;H;SI2;2
1.05;Ideal;5;G;SI1;3
1.5;Good;2;D;SI2;2
0.9;Very Good;3;H;VS1;4
0.72;Very Good;3;E;SI1;3
0.42;Premium;4;G;VS2;5
0.53;Premium;4;I;VVS1;7
0.51;Very Good;3;F;SI1;3
0.51;Ideal;5;H;VS2;5
0.86;Premium;4;F;SI2;2
1.51;Premium;4;H;SI1;3
0.37;Ideal;5;F;VS1;4
0.56;Premium;4;D;SI1;3
1.59;Premium;4;I;VS2;5
0.73;Ideal;5;H;SI1;3
0.31;Ideal;5;F;IF;8
0.4;Very Good;3;F;SI1;3
0.52;Ideal;5;F;VS2;5
1.04;Premium;4;H;SI1;3
1;Ideal;5;J;VS1;4
0.78;Ideal;5;F;SI1;3
0.76;Ideal;5;J;SI1;3
0.71;Premium;4;E;VS2;5
0.9;Ideal;5;G;SI2;2
1.01;Very Good;3;E;SI2;2
0.81;Very Good;3;G;SI2;2
0.36;Ideal;5;F;VVS2;6
0.61;Ideal;5;I;SI2;2
0.51;Ideal;5;E;VS2;5
0.24;Ideal;5;E;VVS2;6
0.52;Ideal;5;H;IF;8
1;Premium;4;H;SI2;2
0.31;Ideal;5;H;VVS2;6
1.08;Premium;4;H;VS1;4
0.7;Good;2;D;VS2;5
0.3;Very Good;3;F;VVS1;7
0.3;Ideal;5;H;SI1;3
0.7;Very Good;3;G;VS2;5
0.72;Ideal;5;E;SI2;2
0.3;Ideal;5;H;VVS1;7
0.76;Premium;4;F;SI1;3
0.41;Very Good;3;D;SI1;3
0.41;Premium;4;E;SI1;3
0.4;Very Good;3;D;SI2;2
1.54;Good;2;E;SI1;3
0.55;Ideal;5;E;VVS2;6
0.57;Ideal;5;H;SI1;3
0.53;Ideal;5;E;VS2;5
0.33;Very Good;3;E;VS2;5
1.53;Premium;4;D;SI2;2
0.52;Ideal;5;H;SI1;3
1.01;Very Good;3;F;VVS1;7
0.91;Very Good;3;D;SI1;3
0.54;Premium;4;F;VS2;5
0.53;Premium;4;H;SI1;3
1.02;Premium;4;G;VS2;5
0.3;Premium;4;H;VS1;4
2.05;Ideal;5;H;SI2;2
0.3;Premium;4;D;VS2;5
0.3;Premium;4;H;VS1;4
0.9;Very Good;3;J;VS1;4
2.25;Ideal;5;I;SI2;2
0.42;Ideal;5;G;VVS1;7
0.7;Good;2;F;SI2;2
1.2;Very Good;3;I;SI1;3
1.52;Premium;4;G;SI1;3
0.33;Ideal;5;G;VVS1;7
1.21;Premium;4;J;VVS2;6
0.23;Very Good;3;E;VVS2;6
0.31;Ideal;5;H;VVS2;6
0.5;Ideal;5;F;SI1;3
1.01;Very Good;3;H;SI1;3
0.76;Ideal;5;H;VS2;5
0.31;Premium;4;E;VVS2;6
1.77;Ideal;5;D;SI2;2
0.4;Very Good;3;G;SI1;3
0.51;Very Good;3;G;VS2;5
0.54;Ideal;5;F;VVS1;7
0.3;Ideal;5;F;SI1;3
1.06;Ideal;5;I;SI2;2
0.81;Ideal;5;F;VS1;4
0.58;Ideal;5;D;SI1;3
0.53;Good;2;H;SI1;3
0.3;Very Good;3;E;SI1;3
1.09;Premium;4;F;SI1;3
1.17;Ideal;5;I;SI2;2
1.53;Ideal;5;I;VS2;5
1.03;Good;2;E;SI2;2
0.35;Premium;4;I;SI1;3
1;Very Good;3;D;VS2;5
2.01;Premium;4;G;SI2;2
0.32;Premium;4;G;VS1;4
1.01;Ideal;5;F;SI2;2
0.4;Very Good;3;D;VS2;5
1.12;Premium;4;D;SI2;2
1.24;Very Good;3;H;VVS2;6
0.52;Ideal;5;E;VS2;5
0.82;Very Good;3;F;VVS2;6
1.05;Good;2;G;SI2;2
1;Very Good;3;F;VS2;5
0.81;Very Good;3;J;SI1;3
1.02;Very Good;3;E;VS1;4
0.75;Fair;1;J;VS1;4
0.4;Very Good;3;D;SI2;2
2.04;Premium;4;F;SI2;2
0.52;Ideal;5;E;VS2;5
0.8;Very Good;3;F;VS2;5
1.01;Very Good;3;F;VS1;4
0.43;Premium;4;E;SI1;3
1.13;Premium;4;G;VVS1;7
0.4;Ideal;5;F;IF;8
1.05;Premium;4;G;VS1;4
0.41;Good;2;E;VS2;5
1.01;Ideal;5;G;VS2;5
0.7;Fair;1;G;SI1;3
0.55;Ideal;5;G;VVS1;7
0.53;Ideal;5;E;VS2;5
1.16;Ideal;5;F;VS2;5
0.3;Ideal;5;F;VS1;4
0.7;Ideal;5;F;VS2;5
0.33;Very Good;3;F;VVS2;6
0.71;Premium;4;E;VS2;5
0.71;Premium;4;E;VS1;4
0.33;Ideal;5;G;IF;8
1.58;Ideal;5;I;SI1;3
1.63;Premium;4;I;VS1;4
0.38;Ideal;5;E;IF;8
1.29;Premium;4;I;VS1;4
1.1;Very Good;3;I;SI2;2
1.73;Premium;4;F;SI2;2
1.01;Fair;1;F;SI1;3
0.41;Very Good;3;E;SI2;2
0.9;Premium;4;I;VS2;5
0.3;Ideal;5;I;VS1;4
0.27;Ideal;5;E;VS1;4
0.28;Very Good;3;H;SI1;3
1.17;Ideal;5;H;VS2;5
1.02;Premium;4;E;SI1;3
0.34;Ideal;5;E;VVS1;7
0.45;Good;2;F;VS1;4
0.75;Ideal;5;G;SI2;2
0.31;Ideal;5;F;VVS2;6
0.38;Ideal;5;D;VVS2;6
0.39;Premium;4;G;VS2;5
0.54;Ideal;5;G;SI1;3
0.7;Premium;4;D;SI1;3
0.31;Ideal;5;E;IF;8
1.21;Ideal;5;F;VS2;5
0.33;Premium;4;G;VS1;4
1.11;Very Good;3;J;VS1;4
0.31;Ideal;5;F;VS2;5
0.32;Very Good;3;F;VS2;5
0.28;Very Good;3;E;VVS2;6
2.17;Very Good;3;H;SI2;2
0.35;Good;2;H;VS2;5
0.57;Ideal;5;F;VVS1;7
1.02;Ideal;5;I;SI1;3
0.77;Ideal;5;J;VS2;5
0.55;Ideal;5;F;SI2;2
0.91;Premium;4;G;SI1;3
1.01;Very Good;3;G;VS2;5
0.33;Ideal;5;G;VVS2;6
0.9;Good;2;H;VS2;5
0.31;Premium;4;G;VS2;5
0.3;Ideal;5;D;VS1;4
0.39;Ideal;5;H;SI2;2
0.63;Very Good;3;G;VS1;4
0.71;Ideal;5;F;SI1;3
1.02;Ideal;5;G;VS2;5
0.56;Very Good;3;J;VS2;5
0.53;Ideal;5;E;VS1;4
0.92;Good;2;D;SI2;2
0.3;Ideal;5;G;VS1;4
0.52;Very Good;3;F;VVS2;6
0.36;Ideal;5;E;VS1;4
2.02;Ideal;5;F;SI2;2
0.54;Ideal;5;D;VS2;5
0.76;Very Good;3;J;VS1;4
1.21;Very Good;3;F;VS2;5
0.3;Premium;4;F;VS2;5
0.9;Very Good;3;E;SI1;3
0.36;Ideal;5;D;SI2;2
0.71;Ideal;5;I;SI1;3
1.09;Ideal;5;E;VS2;5
0.31;Ideal;5;D;VVS2;6
0.3;Very Good;3;G;VS1;4
0.4;Ideal;5;I;VS2;5
0.3;Ideal;5;E;VVS2;6
1.7;Premium;4;F;VS2;5
0.43;Very Good;3;E;SI1;3
0.53;Ideal;5;F;VVS2;6
0.41;Ideal;5;G;VS1;4
0.72;Premium;4;E;SI1;3
1;Good;2;G;VS2;5
0.37;Ideal;5;F;VVS2;6
0.5;Very Good;3;G;SI1;3
0.31;Ideal;5;G;VVS1;7
1.01;Very Good;3;F;VS2;5
0.33;Ideal;5;E;VS2;5
0.35;Good;2;I;SI1;3
0.3;Ideal;5;E;VVS2;6
0.37;Premium;4;J;VS2;5
1.21;Ideal;5;G;VS2;5
1.05;Ideal;5;E;VVS2;6
1.11;Premium;4;D;VS2;5
0.57;Ideal;5;D;VS2;5
1.01;Very Good;3;E;SI2;2
0.51;Ideal;5;I;VS2;5
0.52;Ideal;5;G;VS1;4
0.58;Ideal;5;G;SI1;3
0.26;Very Good;3;E;VVS1;7
0.85;Fair;1;H;I1;1
0.43;Ideal;5;G;VVS1;7
0.25;Ideal;5;G;VVS1;7
0.78;Ideal;5;H;SI1;3
1;Ideal;5;D;SI1;3
0.31;Good;2;D;SI2;2
0.44;Premium;4;G;VS2;5
0.5;Premium;4;G;VVS2;6
1.82;Very Good;3;G;SI1;3
0.4;Very Good;3;D;VVS2;6
0.33;Premium;4;H;VS2;5
0.71;Premium;4;G;SI1;3
2.03;Very Good;3;I;VS2;5
0.25;Ideal;5;H;VS1;4
1.1;Premium;4;F;VS2;5
0.91;Very Good;3;G;VS1;4
0.54;Ideal;5;D;VS1;4
0.9;Good;2;D;SI1;3
1.09;Good;2;H;SI1;3
1.57;Ideal;5;H;I1;1
0.71;Ideal;5;F;VS1;4
0.72;Good;2;G;VS2;5
1.12;Ideal;5;H;SI1;3
0.31;Ideal;5;H;IF;8
0.7;Ideal;5;F;SI1;3
0.53;Ideal;5;H;VS1;4
0.3;Ideal;5;H;IF;8
0.73;Premium;4;G;VVS2;6
0.4;Premium;4;E;VS1;4
1.09;Premium;4;H;SI1;3
1.21;Premium;4;I;VS2;5
0.32;Ideal;5;D;VVS2;6
0.31;Ideal;5;G;VVS1;7
0.43;Premium;4;I;IF;8
0.3;Ideal;5;E;VS2;5
1;Ideal;5;H;I1;1
0.3;Ideal;5;E;SI2;2
0.61;Very Good;3;G;VS2;5
0.33;Very Good;3;E;SI1;3
0.62;Premium;4;F;VS2;5
1.1;Premium;4;G;VS2;5
0.32;Ideal;5;F;VS1;4
1.08;Very Good;3;F;SI1;3
0.41;Ideal;5;G;SI2;2
1;Ideal;5;G;SI1;3
1;Ideal;5;E;SI1;3
0.37;Ideal;5;G;IF;8
0.35;Premium;4;E;SI2;2
1.2;Good;2;H;SI1;3
0.5;Premium;4;E;SI1;3
0.43;Ideal;5;G;VVS2;6
0.42;Very Good;3;G;VS2;5
0.59;Ideal;5;E;SI1;3
1.4;Ideal;5;H;SI2;2
0.66;Good;2;F;VS2;5
1.02;Ideal;5;I;VS2;5
0.53;Ideal;5;H;VS2;5
0.51;Good;2;F;SI1;3
0.42;Very Good;3;D;SI2;2
2.03;Ideal;5;H;SI2;2
0.41;Premium;4;H;VS1;4
0.41;Ideal;5;F;VS1;4
0.3;Very Good;3;H;VS2;5
1.11;Ideal;5;F;VS2;5
0.31;Very Good;3;J;VS2;5
0.7;Good;2;F;SI1;3
0.4;Premium;4;E;SI1;3
0.33;Ideal;5;G;SI2;2
0.9;Very Good;3;F;SI2;2
0.31;Ideal;5;F;VS2;5
1.15;Ideal;5;D;VS2;5
1.01;Ideal;5;D;VVS2;6
0.42;Ideal;5;G;VS1;4
0.91;Ideal;5;J;VS1;4
1.26;Premium;4;I;SI1;3
1.28;Ideal;5;G;VS1;4
1.17;Ideal;5;G;VVS2;6
1.02;Premium;4;G;SI2;2
0.57;Ideal;5;E;VS2;5
0.91;Very Good;3;I;VS2;5
1;Ideal;5;I;VS2;5
0.7;Good;2;D;VS1;4
1.14;Very Good;3;D;VS2;5
0.9;Very Good;3;F;SI2;2
0.3;Ideal;5;G;IF;8
0.27;Ideal;5;E;VS1;4
0.34;Ideal;5;I;IF;8
0.33;Ideal;5;G;IF;8
2;Ideal;5;G;SI2;2
0.7;Premium;4;G;VS2;5
0.37;Good;2;F;VS2;5
0.73;Ideal;5;D;VS2;5
0.38;Ideal;5;E;SI1;3
1;Premium;4;I;VS1;4
0.39;Premium;4;G;IF;8
0.51;Premium;4;E;VS2;5
0.7;Very Good;3;F;SI1;3
1.11;Good;2;H;SI2;2
0.34;Ideal;5;E;VVS1;7
1.25;Ideal;5;J;SI1;3
0.52;Ideal;5;J;SI1;3
1;Very Good;3;H;SI2;2
0.33;Ideal;5;F;VVS1;7
1.8;Ideal;5;D;SI2;2
0.3;Good;2;H;VS1;4
0.7;Very Good;3;E;VS1;4
1.08;Ideal;5;G;VS2;5
0.61;Good;2;G;I1;1
1.1;Premium;4;G;VS2;5
0.41;Premium;4;F;VS2;5
0.33;Very Good;3;G;VS2;5
0.5;Premium;4;J;SI1;3
0.38;Premium;4;D;VS1;4
2.01;Ideal;5;H;SI2;2
0.42;Ideal;5;D;SI1;3
1.52;Ideal;5;G;SI1;3
0.53;Ideal;5;E;VS1;4
0.7;Very Good;3;E;IF;8
0.72;Ideal;5;G;VS2;5
0.9;Very Good;3;E;SI1;3
1.22;Ideal;5;I;SI1;3
0.25;Very Good;3;F;VVS1;7
2.03;Ideal;5;I;VS2;5
1.02;Ideal;5;G;SI2;2
0.74;Ideal;5;J;VS1;4
1.24;Premium;4;H;SI1;3
1.15;Premium;4;G;SI2;2
2.01;Premium;4;I;SI2;2
0.71;Premium;4;F;IF;8
0.56;Ideal;5;D;SI2;2
1.01;Ideal;5;H;SI1;3
0.31;Ideal;5;F;IF;8
1.19;Ideal;5;D;SI2;2
0.5;Ideal;5;D;VS2;5
1.02;Premium;4;G;SI1;3
0.38;Premium;4;E;SI1;3
0.41;Ideal;5;F;VVS2;6
1.52;Ideal;5;D;SI2;2
1.22;Ideal;5;G;VS2;5
0.53;Ideal;5;D;VS2;5
0.4;Very Good;3;D;SI1;3
0.33;Premium;4;D;SI1;3
0.31;Ideal;5;H;VS1;4
1.14;Premium;4;D;SI1;3
1.32;Premium;4;I;SI2;2
0.23;Very Good;3;F;VVS1;7
0.41;Very Good;3;G;VVS2;6
2.24;Ideal;5;I;SI2;2
0.55;Ideal;5;D;VS2;5
2.32;Fair;1;H;SI1;3
1.25;Ideal;5;J;VS2;5
0.31;Ideal;5;F;SI1;3
2.01;Fair;1;H;VS2;5
0.55;Ideal;5;E;SI1;3
0.7;Very Good;3;E;VVS2;6
1.51;Good;2;D;VS1;4
0.31;Ideal;5;F;VVS1;7
0.95;Ideal;5;H;SI1;3
0.24;Ideal;5;G;VS1;4
0.4;Premium;4;D;SI2;2
1.25;Premium;4;H;SI2;2
0.24;Very Good;3;E;VVS1;7
0.83;Ideal;5;F;SI1;3
1.01;Very Good;3;G;VS2;5
0.27;Very Good;3;F;VVS1;7
1.1;Ideal;5;F;VS1;4
0.3;Premium;4;G;VVS2;6
0.52;Ideal;5;E;SI1;3
0.4;Ideal;5;G;IF;8
1.3;Premium;4;H;SI1;3
1.71;Ideal;5;G;VS1;4
0.52;Ideal;5;D;VS2;5
0.33;Ideal;5;H;VVS1;7
1;Very Good;3;E;VVS2;6
0.5;Premium;4;F;VS1;4
0.91;Very Good;3;F;SI1;3
1.21;Ideal;5;G;VS1;4
0.51;Ideal;5;D;VS2;5
0.41;Premium;4;G;VVS2;6
0.94;Very Good;3;F;SI2;2
0.31;Premium;4;G;SI1;3
0.4;Ideal;5;D;VS2;5
1.12;Ideal;5;G;SI1;3
1;Good;2;E;SI1;3
1.48;Premium;4;H;SI2;2
0.32;Ideal;5;G;SI1;3
0.76;Good;2;G;IF;8
0.42;Ideal;5;D;SI1;3
0.5;Good;2;E;SI1;3
0.83;Very Good;3;J;VS2;5
0.32;Very Good;3;G;VS1;4
0.7;Ideal;5;H;VS1;4
0.73;Ideal;5;D;VS1;4
0.71;Very Good;3;D;VS1;4
0.35;Premium;4;F;SI1;3
0.42;Premium;4;H;SI1;3
0.81;Ideal;5;E;VS2;5
0.32;Ideal;5;E;VS2;5
0.85;Premium;4;I;I1;1
0.71;Good;2;F;SI1;3
0.32;Very Good;3;H;VVS2;6
1.09;Premium;4;H;SI1;3
0.35;Premium;4;D;VS2;5
0.82;Premium;4;G;SI2;2
1.03;Premium;4;H;SI1;3
0.5;Fair;1;H;VS1;4
0.8;Ideal;5;H;VS2;5
1.12;Premium;4;J;SI2;2
1.62;Premium;4;G;VS2;5
1.22;Ideal;5;H;SI1;3
0.52;Ideal;5;F;VVS1;7
1.11;Good;2;I;VS2;5
0.31;Very Good;3;F;SI1;3
0.42;Ideal;5;D;VS1;4
0.32;Ideal;5;H;VS2;5
0.9;Very Good;3;F;SI1;3
1.04;Ideal;5;H;SI1;3
0.35;Ideal;5;D;VS2;5
0.5;Fair;1;E;VS2;5
0.36;Very Good;3;D;SI1;3
0.3;Premium;4;D;SI2;2
0.7;Very Good;3;E;SI1;3
0.41;Very Good;3;G;VS1;4
0.4;Premium;4;D;VS2;5
1.1;Premium;4;E;SI2;2
0.74;Very Good;3;E;SI2;2
0.51;Ideal;5;F;VS2;5
0.27;Very Good;3;F;VVS1;7
1.01;Ideal;5;G;VS2;5
1.37;Very Good;3;I;SI2;2
1.01;Premium;4;H;SI1;3
0.39;Fair;1;E;SI1;3
0.51;Premium;4;E;SI1;3
0.5;Premium;4;G;VVS2;6
1.55;Ideal;5;G;SI2;2
0.3;Ideal;5;F;IF;8
2;Premium;4;D;SI2;2
0.35;Premium;4;J;VS1;4
0.33;Ideal;5;D;VS2;5
1;Very Good;3;G;VS2;5
0.93;Good;2;G;SI2;2
0.25;Premium;4;E;VVS2;6
0.7;Good;2;E;SI1;3
